index,time,pdu,measured_power_util
0,600000000,pdu10,0.699
1,600000000,pdu7,0.663
2,600000000,pdu8,0.664
3,600000000,pdu6,0.659
4,600000000,pdu9,0.715
5,900000000,pdu10,0.696
6,900000000,pdu7,0.661
7,900000000,pdu8,0.661
8,900000000,pdu6,0.657
9,900000000,pdu9,0.713
10,1200000000,pdu10,0.701
11,1200000000,pdu7,0.666
12,1200000000,pdu8,0.668
13,1200000000,pdu6,0.664
14,1200000000,pdu9,0.72
15,1500000000,pdu10,0.71
16,1500000000,pdu7,0.674
17,1500000000,pdu8,0.677
18,1500000000,pdu6,0.673
19,1500000000,pdu9,0.73
20,1800000000,pdu10,0.718
21,1800000000,pdu7,0.677
22,1800000000,pdu8,0.681
23,1800000000,pdu6,0.677
24,1800000000,pdu9,0.736
25,2100000000,pdu10,0.724
26,2100000000,pdu7,0.681
27,2100000000,pdu8,0.685
28,2100000000,pdu6,0.681
29,2100000000,pdu9,0.74
30,2400000000,pdu10,0.724
31,2400000000,pdu7,0.681
32,2400000000,pdu8,0.686
33,2400000000,pdu6,0.682
34,2400000000,pdu9,0.739
35,2700000000,pdu10,0.719
36,2700000000,pdu7,0.678
37,2700000000,pdu8,0.683
38,2700000000,pdu6,0.678
39,2700000000,pdu9,0.734
40,3000000000,pdu10,0.703
41,3000000000,pdu7,0.665
42,3000000000,pdu8,0.669
43,3000000000,pdu6,0.663
44,3000000000,pdu9,0.716
45,3300000000,pdu10,0.682
46,3300000000,pdu7,0.649
47,3300000000,pdu8,0.652
48,3300000000,pdu6,0.644
49,3300000000,pdu9,0.693
50,3600000000,pdu10,0.661
51,3600000000,pdu7,0.634
52,3600000000,pdu8,0.638
53,3600000000,pdu6,0.629
54,3600000000,pdu9,0.674
55,3900000000,pdu10,0.648
56,3900000000,pdu7,0.624
57,3900000000,pdu8,0.626
58,3900000000,pdu6,0.62
59,3900000000,pdu9,0.661
60,4200000000,pdu10,0.649
61,4200000000,pdu7,0.626
62,4200000000,pdu8,0.627
63,4200000000,pdu6,0.621
64,4200000000,pdu9,0.663
65,4500000000,pdu10,0.65
66,4500000000,pdu7,0.626
67,4500000000,pdu8,0.629
68,4500000000,pdu6,0.621
69,4500000000,pdu9,0.666
70,4800000000,pdu10,0.644
71,4800000000,pdu7,0.62
72,4800000000,pdu8,0.623
73,4800000000,pdu6,0.613
74,4800000000,pdu9,0.66
75,5100000000,pdu10,0.648
76,5100000000,pdu7,0.622
77,5100000000,pdu8,0.625
78,5100000000,pdu6,0.615
79,5100000000,pdu9,0.664
80,5400000000,pdu10,0.645
81,5400000000,pdu7,0.62
82,5400000000,pdu8,0.622
83,5400000000,pdu6,0.612
84,5400000000,pdu9,0.661
85,5700000000,pdu10,0.646
86,5700000000,pdu7,0.619
87,5700000000,pdu8,0.624
88,5700000000,pdu6,0.613
89,5700000000,pdu9,0.663
90,6000000000,pdu10,0.654
91,6000000000,pdu7,0.625
92,6000000000,pdu8,0.629
93,6000000000,pdu6,0.618
94,6000000000,pdu9,0.669
95,6300000000,pdu10,0.663
96,6300000000,pdu7,0.634
97,6300000000,pdu8,0.637
98,6300000000,pdu6,0.628
99,6300000000,pdu9,0.679
100,6600000000,pdu10,0.665
101,6600000000,pdu7,0.638
102,6600000000,pdu8,0.641
103,6600000000,pdu6,0.633
104,6600000000,pdu9,0.683
105,6900000000,pdu10,0.668
106,6900000000,pdu7,0.64
107,6900000000,pdu8,0.643
108,6900000000,pdu6,0.636
109,6900000000,pdu9,0.685
110,7200000000,pdu10,0.667
111,7200000000,pdu7,0.638
112,7200000000,pdu8,0.641
113,7200000000,pdu6,0.634
114,7200000000,pdu9,0.684
115,7500000000,pdu10,0.665
116,7500000000,pdu7,0.636
117,7500000000,pdu8,0.638
118,7500000000,pdu6,0.633
119,7500000000,pdu9,0.681
120,7800000000,pdu10,0.664
121,7800000000,pdu7,0.634
122,7800000000,pdu8,0.638
123,7800000000,pdu6,0.632
124,7800000000,pdu9,0.678
125,8100000000,pdu10,0.667
126,8100000000,pdu7,0.637
127,8100000000,pdu8,0.641
128,8100000000,pdu6,0.634
129,8100000000,pdu9,0.682
130,8400000000,pdu10,0.665
131,8400000000,pdu7,0.635
132,8400000000,pdu8,0.64
133,8400000000,pdu6,0.631
134,8400000000,pdu9,0.68
135,8700000000,pdu10,0.659
136,8700000000,pdu7,0.631
137,8700000000,pdu8,0.636
138,8700000000,pdu6,0.626
139,8700000000,pdu9,0.674
140,9000000000,pdu10,0.659
141,9000000000,pdu7,0.631
142,9000000000,pdu8,0.636
143,9000000000,pdu6,0.626
144,9000000000,pdu9,0.673
145,9300000000,pdu10,0.66
146,9300000000,pdu7,0.633
147,9300000000,pdu8,0.637
148,9300000000,pdu6,0.627
149,9300000000,pdu9,0.675
150,9600000000,pdu10,0.668
151,9600000000,pdu7,0.639
152,9600000000,pdu8,0.644
153,9600000000,pdu6,0.633
154,9600000000,pdu9,0.686
155,9900000000,pdu10,0.663
156,9900000000,pdu7,0.634
157,9900000000,pdu8,0.639
158,9900000000,pdu6,0.627
159,9900000000,pdu9,0.679
160,10200000000,pdu10,0.664
161,10200000000,pdu7,0.635
162,10200000000,pdu8,0.64
163,10200000000,pdu6,0.627
164,10200000000,pdu9,0.681
165,10500000000,pdu10,0.66
166,10500000000,pdu7,0.631
167,10500000000,pdu8,0.636
168,10500000000,pdu6,0.623
169,10500000000,pdu9,0.677
170,10800000000,pdu10,0.668
171,10800000000,pdu7,0.636
172,10800000000,pdu8,0.642
173,10800000000,pdu6,0.629
174,10800000000,pdu9,0.687
175,11100000000,pdu10,0.673
176,11100000000,pdu7,0.638
177,11100000000,pdu8,0.646
178,11100000000,pdu6,0.633
179,11100000000,pdu9,0.692
180,11400000000,pdu10,0.674
181,11400000000,pdu7,0.64
182,11400000000,pdu8,0.648
183,11400000000,pdu6,0.635
184,11400000000,pdu9,0.693
185,11700000000,pdu10,0.672
186,11700000000,pdu7,0.639
187,11700000000,pdu8,0.647
188,11700000000,pdu6,0.635
