datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,107.71,107.71,94.25368,94.25366,40.55216,137.9477
2022-07-02T01:00:00.000000000,127.91,127.91,122.79285,122.79283,75.85946,182.36652
2022-07-02T02:00:00.000000000,169.31,169.31,160.0687,160.0687,107.596,202.85965
2022-07-02T03:00:00.000000000,217.19,217.19,189.8835,189.88352,147.8694,250.52355
2022-07-02T04:00:00.000000000,231.37,231.37,205.00912,205.00914,177.44345,299.9461
2022-07-02T05:00:00.000000000,232.7,232.7,207.133,207.133,166.68923,295.13802
2022-07-02T06:00:00.000000000,217.56,217.56,199.3406,199.3406,163.8845,288.43349
2022-07-02T07:00:00.000000000,204.25,204.25,188.64168,188.64168,140.21325,258.82035
2022-07-02T08:00:00.000000000,177.75,177.75,181.21839,181.21838,133.52318,240.7783
2022-07-02T09:00:00.000000000,168.08,168.08,175.02914,175.02914,123.38353,218.8863
2022-07-02T10:00:00.000000000,166.65,166.65,169.08723,169.08723,117.93375,209.46269
2022-07-02T11:00:00.000000000,159.24,159.24,167.42323,167.42323,116.22982,211.1731
2022-07-02T12:00:00.000000000,161.72,161.72,167.7478,167.7478,114.7743,208.58672
2022-07-02T13:00:00.000000000,155.69,155.69,161.45807,161.45807,108.38065,201.39279
2022-07-02T14:00:00.000000000,134.43,134.43,145.61792,145.61793,92.25198,187.24592
2022-07-02T15:00:00.000000000,91.89,91.89,121.73356,121.73357,62.65906,157.39024
2022-07-02T16:00:00.000000000,83.17,83.17,97.71738,97.71739,4.09737,128.11646
2022-07-02T17:00:00.000000000,79.5,79.5,84.17896,84.17896,32.04234,125.32315
2022-07-02T18:00:00.000000000,77.78,77.78,83.64144,83.64144,24.41769,123.6624
2022-07-02T19:00:00.000000000,72.52,72.52,84.32052,84.32051,32.25649,125.41924
2022-07-02T20:00:00.000000000,68.07,68.07,81.11084,81.11084,15.48215,112.3442
2022-07-02T21:00:00.000000000,66.67,66.67,79.38754,79.38753,19.81782,115.15961
2022-07-02T22:00:00.000000000,70.14,70.14,80.34925,80.34923,20.12666,115.99331
2022-07-02T23:00:00.000000000,74.33,74.33,84.70082,84.7008,33.49868,126.04489
2022-07-03T00:00:00.000000000,85.18,85.18,80.83702,80.83703,22.82849,116.81454
