datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,312.21,312.21,312.72297,312.72297,275.58565,327.01987
2022-07-02T01:00:00.000000000,307.63,307.63,313.24392,313.24392,278.27621,338.66604
2022-07-02T02:00:00.000000000,316.77,316.77,309.75609,309.75609,273.9713,324.3482
2022-07-02T03:00:00.000000000,308.66,308.66,302.60718,302.60718,297.01557,351.26636
2022-07-02T04:00:00.000000000,293.95,293.95,292.24073,292.24073,272.86278,339.67714
2022-07-02T05:00:00.000000000,282.36,282.36,280.9721,280.9721,247.03694,308.68745
2022-07-02T06:00:00.000000000,267.25,267.25,272.70883,272.70883,240.04916,312.16396
2022-07-02T07:00:00.000000000,272.68,272.68,269.06767,269.06768,234.61817,283.04934
2022-07-02T08:00:00.000000000,277.8,277.8,269.61774,269.61774,240.46202,306.94742
2022-07-02T09:00:00.000000000,276.49,276.49,273.73335,273.73335,269.34469,323.64308
2022-07-02T10:00:00.000000000,288.74,288.74,281.87899,281.87899,252.58095,322.67481
2022-07-02T11:00:00.000000000,298.93,298.93,293.84248,293.84248,287.34734,343.03777
2022-07-02T12:00:00.000000000,308.74,308.74,306.78453,306.78453,276.74094,348.11858
2022-07-02T13:00:00.000000000,309.66,309.66,318.05658,318.05658,290.59903,359.26972
2022-07-02T14:00:00.000000000,289.55,289.55,327.38281,327.38281,291.48513,341.97991
2022-07-02T15:00:00.000000000,279.62,279.62,335.0583,335.05832,247.31225,320.42875
2022-07-02T16:00:00.000000000,289.53,289.53,338.47287,338.47287,251.23544,323.75173
2022-07-02T17:00:00.000000000,307.63,307.63,339.07444,339.07444,251.22031,324.20567
2022-07-02T18:00:00.000000000,322.43,322.43,337.37055,337.37053,256.07841,339.84233
2022-07-02T19:00:00.000000000,331.57,331.57,334.47997,334.47997,298.52517,347.88686
2022-07-02T20:00:00.000000000,331.09,331.09,331.57078,331.57078,294.97624,344.97675
