datetime,actual,spci_actual,predicted,spci_predicted,lower bound,upper bound
2022-07-02T00:00:00.000000000,267.97,267.97,260.66673,260.66673,250.27399,277.38342
2022-07-02T01:00:00.000000000,266.6,266.6,256.41462,256.41462,245.73503,273.28357
2022-07-02T02:00:00.000000000,277.27,277.27,250.39186,250.39186,238.79765,272.74434
2022-07-02T03:00:00.000000000,280.01,280.01,242.10377,242.10377,244.50727,283.74072
2022-07-02T04:00:00.000000000,274.49,274.49,235.5597,235.5597,239.02894,276.93563
2022-07-02T05:00:00.000000000,266.1,266.1,232.36703,232.36703,236.3764,274.07682
2022-07-02T06:00:00.000000000,258.39,258.39,230.93441,230.93441,234.43992,272.32748
2022-07-02T07:00:00.000000000,254.36,254.36,231.72184,231.72184,233.98642,271.12239
2022-07-02T08:00:00.000000000,244.63,244.63,233.98675,233.98675,237.5371,275.61862
2022-07-02T09:00:00.000000000,244.63,244.63,237.5296,237.52959,227.05512,266.76635
2022-07-02T10:00:00.000000000,241.47,241.47,242.25813,242.25814,231.88192,259.26756
2022-07-02T11:00:00.000000000,239.56,239.56,247.42272,247.42272,235.81334,262.23177
2022-07-02T12:00:00.000000000,250.81,250.81,250.36487,250.36487,222.52366,257.36125
2022-07-02T13:00:00.000000000,256.11,256.11,252.81058,252.81058,242.56075,270.11805
2022-07-02T14:00:00.000000000,258.3,258.3,254.05353,254.05353,242.59632,269.60958
2022-07-02T15:00:00.000000000,259.54,259.54,254.30295,254.30295,244.06456,271.14029
2022-07-02T16:00:00.000000000,257.92,257.92,253.48278,253.48278,242.09828,269.79652
2022-07-02T17:00:00.000000000,261.74,261.74,253.41016,253.41016,242.59127,270.14562
2022-07-02T18:00:00.000000000,261.29,261.29,253.46671,253.46671,241.43309,268.43893
2022-07-02T19:00:00.000000000,262.79,262.79,254.33047,254.33047,242.51284,269.45287
2022-07-02T20:00:00.000000000,265.62,265.62,254.76594,254.76594,242.93245,269.2319
2022-07-02T21:00:00.000000000,262.07,262.07,254.60439,254.60439,244.37756,281.79819
2022-07-02T22:00:00.000000000,258.75,258.75,254.77541,254.7754,244.79278,271.36798
2022-07-02T23:00:00.000000000,263.34,263.34,254.37705,254.37705,242.92143,269.22412
2022-07-03T00:00:00.000000000,270.18,270.18,253.53564,253.53564,241.73836,268.04062
2022-07-03T01:00:00.000000000,272.92,272.92,252.09984,252.09984,255.93146,292.50641
2022-07-03T02:00:00.000000000,268.64,268.64,250.23002,250.23002,252.83321,290.66054
2022-07-03T03:00:00.000000000,260.79,260.79,246.48536,246.48536,249.83024,286.86587
2022-07-03T04:00:00.000000000,254.79,254.79,244.19689,244.19689,247.7265,284.59743
2022-07-03T05:00:00.000000000,246.67,246.67,244.68222,244.68222,234.00687,273.16136
2022-07-03T06:00:00.000000000,239.62,239.62,245.68999,245.68999,235.25258,262.28048
2022-07-03T07:00:00.000000000,235.91,235.91,247.41634,247.41634,219.88206,257.12521
2022-07-03T08:00:00.000000000,237.51,237.51,249.47518,249.47518,221.48089,251.14163
2022-07-03T09:00:00.000000000,239.96,239.96,251.71124,251.71124,225.09604,254.6769
2022-07-03T10:00:00.000000000,236.28,236.28,253.88078,253.88077,225.93486,255.56645
2022-07-03T11:00:00.000000000,235.81,235.81,256.07098,256.07098,229.62401,259.33773
2022-07-03T12:00:00.000000000,240.16,240.16,256.60253,256.60253,228.1724,258.0775
2022-07-03T13:00:00.000000000,243.01,243.01,257.2526,257.2526,229.4406,258.86657
2022-07-03T14:00:00.000000000,246.77,246.77,257.03472,257.03472,229.52339,259.20704
2022-07-03T15:00:00.000000000,239.07,239.07,256.09585,256.09584,227.97725,258.01699
2022-07-03T16:00:00.000000000,238.38,238.38,254.50385,254.50386,226.69786,256.1947
2022-07-03T17:00:00.000000000,240.68,240.68,253.4357,253.4357,225.20114,254.89283
2022-07-03T18:00:00.000000000,242.35,242.35,252.64181,252.64181,224.63091,254.42137
2022-07-03T19:00:00.000000000,244.4,244.4,253.11276,253.11276,225.94158,255.28661
2022-07-03T20:00:00.000000000,249.89,249.89,253.17313,253.17313,226.72766,256.44274
2022-07-03T21:00:00.000000000,252.64,252.64,252.41817,252.41817,240.43666,267.15113
2022-07-03T22:00:00.000000000,249.29,249.29,251.55862,251.55862,239.67814,266.40581
2022-07-03T23:00:00.000000000,251.85,251.85,251.39454,251.39454,241.09195,267.98752
2022-07-04T00:00:00.000000000,259.68,259.68,248.09442,248.09442,235.73845,262.59251
2022-07-04T01:00:00.000000000,266.08,266.08,245.21701,245.21703,234.88945,274.32226
2022-07-04T02:00:00.000000000,259.19,259.19,241.12697,241.12697,244.616,282.36725
2022-07-04T03:00:00.000000000,252.32,252.32,235.33504,235.33504,239.16173,275.76943
2022-07-04T04:00:00.000000000,246.82,246.82,230.76693,230.76693,233.30806,271.183
2022-07-04T05:00:00.000000000,239.14,239.14,229.18419,229.18418,232.08841,270.10897
2022-07-04T06:00:00.000000000,227.05,227.05,228.86348,228.86348,218.4552,245.73863
2022-07-04T07:00:00.000000000,223.39,223.39,229.90137,229.90137,218.33995,244.63644
2022-07-04T08:00:00.000000000,218.17,218.17,231.76852,231.76851,204.0014,233.8874
2022-07-04T09:00:00.000000000,218.03,218.03,234.74042,234.74042,208.47813,238.05009
2022-07-04T10:00:00.000000000,216.14,216.14,237.92445,237.92445,210.01217,239.66246
2022-07-04T11:00:00.000000000,222.63,222.63,241.76464,241.76464,213.7701,243.68629
2022-07-04T12:00:00.000000000,227.75,227.75,244.19621,244.19621,216.42667,245.7052
2022-07-04T13:00:00.000000000,222.29,222.29,246.06797,246.06797,219.4765,249.5661
2022-07-04T14:00:00.000000000,217.72,217.72,246.92257,246.92257,219.00222,248.66342
2022-07-04T15:00:00.000000000,215.36,215.36,246.80278,246.80278,192.06636,232.62705
2022-07-04T16:00:00.000000000,221.82,221.82,246.01757,246.01757,189.13502,230.01295
2022-07-04T17:00:00.000000000,231.89,231.89,245.49688,245.49688,216.80903,246.97073
2022-07-04T18:00:00.000000000,236.76,236.76,245.08047,245.08047,217.01015,246.70059
2022-07-04T19:00:00.000000000,240.53,240.53,245.86444,245.86444,218.11453,247.46335
2022-07-04T20:00:00.000000000,242.46,242.46,246.51882,246.51882,227.6869,262.90161
2022-07-04T21:00:00.000000000,244.88,244.88,246.81978,246.81978,236.73089,263.53123
2022-07-04T22:00:00.000000000,243.02,243.02,246.90391,246.90391,234.89087,261.38431
2022-07-04T23:00:00.000000000,249.15,249.15,246.84247,246.84249,231.06348,261.40691
2022-07-05T00:00:00.000000000,257.83,257.83,255.38445,255.38445,243.08636,270.19417
2022-07-05T01:00:00.000000000,267.86,267.86,250.58343,250.58343,238.61223,265.29923
2022-07-05T02:00:00.000000000,268.38,268.38,244.37924,244.37924,246.70235,284.95864
2022-07-05T03:00:00.000000000,260.47,260.47,236.44275,236.44275,239.96707,277.66324
2022-07-05T04:00:00.000000000,252.78,252.78,230.30006,230.30006,231.39069,268.2306
2022-07-05T05:00:00.000000000,242.33,242.33,227.8532,227.8532,231.39683,268.76358
2022-07-05T06:00:00.000000000,238.46,238.46,226.96751,226.96751,230.65913,267.34675
2022-07-05T07:00:00.000000000,235.1,235.1,228.32414,228.32414,220.16214,263.13673
2022-07-05T08:00:00.000000000,232.58,232.58,231.2167,231.2167,220.77725,248.49443
2022-07-05T09:00:00.000000000,232.56,232.56,235.57874,235.57874,224.75692,252.30203
2022-07-05T10:00:00.000000000,239.82,239.82,240.52367,240.52367,230.37547,257.52711
2022-07-05T11:00:00.000000000,247.27,247.27,245.97719,245.97719,235.75858,262.74115
2022-07-05T12:00:00.000000000,258.55,258.55,249.38748,249.38747,237.60057,264.67307
2022-07-05T13:00:00.000000000,267.04,267.04,251.8965,251.89649,240.3489,267.9767
2022-07-05T14:00:00.000000000,271.12,271.12,253.31719,253.31719,257.13121,294.55107
2022-07-05T15:00:00.000000000,272.58,272.58,253.48787,253.48787,257.50695,293.92457
2022-07-05T16:00:00.000000000,277.05,277.05,252.58819,252.58819,256.4386,293.12407
2022-07-05T17:00:00.000000000,278.52,278.52,251.94657,251.94657,255.41484,292.60824
2022-07-05T18:00:00.000000000,277.78,277.78,251.67144,251.67144,253.14827,290.6429
